题目,题目类型,答案,分数
计算机信息系统安全管理包括()&组织建设&事前检查&制度建设&人员意识,1,组织建设&制度建设&人员意识,5
实施计算机信息系统安全保护的措施包括()&安全法规&安全管理&组织建设&制度建设,1,安全法规&安全管理,5
计算机信息系统的运行安全包括()&系统风险管理&审计跟踪&备份与恢复&电磁信息泄漏&,1,系统风险管理&审计跟踪&备份与恢复,5
计算机信息系统安全保护的目标是要保护计算机信息系统的()&实体安全&运行安全&信息安全&人员安全&,1,实体安全&运行安全&信息安全&人员安全,5
智能卡可以应用的地方包括()&进入大楼&使用移动电话&登录特定主机&执行银行和电子商务交易&,1,进入大楼&使用移动电话&登录特定主机&执行银行和电子商务交易,5
网络安全工作的目标包括()&信息机密性&信息完整性&服务可用性&可审查性&,1,信息机密性&信息完整性&服务可用性&可审查性,5
iSCSI 继承了两大最传统技术： （ ）&SCSI 协议&IP SAN 协议&TCP/IP 协议&FC 协议,1,SCSI 协议&TCP/IP 协议,5
信息存储技术按其存储原理分类有（） 。&电存储技术&磁存储技术&逻辑存储技术&光存储技术,1,电存储技术&磁存储技术&光存储技术,5
操作系统的安装、备份、还原方法有哪些？&利用光盘安装系统&利用 U 盘安装系统&利用工具软件备份或还原系统&利用光盘备份或还原系统,1,利用光盘安装系统&利用 U 盘安装系统&利用工具软件备份或还原系统&利用光盘备份或还原系统,5
绝对自由的互联网本身是完全存在的,2,1,5
在当今世界里互联网的兴起与普及，开辟了交往的无限可能性,2,0,5
罗马法中有著名的谚语叫做：法律恒须规定救济，救济设于权利之后,2,0,5
建设“宽带中国”，对于我国互联网发展具有重要意义,2,0,5
我国的互联网非常安全，没有漏洞,2,1,5
互联网监管规范越来越弱,2,1,5
网络道德建设是社会精神文明建设的需要,2,0,5
网络社会和现实社会没有联系,2,1,5
互联网发展初期，世界对于它普遍以不干预，鼓励发展为主,2,0,5
网络信息内容服务平台违反本规定第九条、第十二条、第十五条、第十六条、第十七条规定的，由设区的市级以上网信部门依据职责进行约谈，给予警告，责令限期改正；拒不改正或者情节严重的，责令暂停信息更新，按照有关法律、行政法规的规定予以处理。,2,0,5
自主性、自律性、（）和多元性都是网络道德的特点 。&统一性&同一性&开放性&复杂性,0,开放性,5
行为人有意制造和发布有害的、虚假的、过时的和无用的不良信息称为( )。&信息污染&网络垃圾&网络谣言&虚假信息,0,信息污染,5
网络安全一般是指网络系统的硬件、软件及其(    )受到保护，不因偶然的或者恶意的原因而遭受破坏、更改、泄漏，系统连续可靠正常地运行，网络服务不中断。&系统中的文件&系统中的图片&系统中的数据&系统中的视频,0,系统中的数据,5
信息安全领域内最关键和最薄弱的环节是(  )。&技术&策略&管理制度&人,0,人,5
2012年12月28日全国人大常委会通过了（  ），标志着网络信息保护立法工作翻开了新篇章&《关于加强网络信息保护的决定》&《网络游戏管理暂行办法》&《非金融机构支付服务管理办法》&《互联网信息管理办法》,0,《关于加强网络信息保护的决定》,5
下列关于互惠原则说法不正确的是。&互惠原则是网络道德的主要原则之一&网络信息交流和网络服务具有双向性&网络主体只承担义务&互惠原则本质上体现的是赋予网络主体平等与公正,0,网络主体只承担义务,5
网络犯罪的表现形式常见得有非法侵入，破坏计算机信息系统、网络赌博、网络盗窃和。&网络诈骗、犯罪动机&网络犯罪、网络色情&网络色情、高智能化&犯罪动机、高智能化,0,网络犯罪、网络色情,5
2008年5月1日，我国正式实施 ——，政府网站的开通，被认为是推动政府改革的重要措施。&深化政府改革纪要&政府信息公开条例&政府的职能改革&加强政府信息公开,0,政府信息公开条例,5
